bits_1_11,note_count,notes
621,7,C D♭ E♭ E F♯ G B♭
622,7,C D E♭ E F♯ G B♭
623,8,C D♭ D E♭ E F♯ G B♭
624,5,C F F♯ G B♭
625,6,C D♭ F F♯ G B♭
626,6,C D F F♯ G B♭
627,7,C D♭ D F F♯ G B♭
628,6,C E♭ F F♯ G B♭
629,7,C D♭ E♭ F F♯ G B♭
630,7,C D E♭ F F♯ G B♭
631,8,C D♭ D E♭ F F♯ G B♭
632,6,C E F F♯ G B♭
633,7,C D♭ E F F♯ G B♭
634,7,C D E F F♯ G B♭
635,8,C D♭ D E F F♯ G B♭
636,7,C E♭ E F F♯ G B♭
637,8,C D♭ E♭ E F F♯ G B♭
638,8,C D E♭ E F F♯ G B♭
639,9,C D♭ D E♭ E F F♯ G B♭
640,3,C A♭ B♭
641,4,C D♭ A♭ B♭
642,4,C D A♭ B♭
643,5,C D♭ D A♭ B♭
644,4,C E♭ A♭ B♭
645,5,C D♭ E♭ A♭ B♭
646,5,C D E♭ A♭ B♭
647,6,C D♭ D E♭ A♭ B♭
648,4,C E A♭ B♭
649,5,C D♭ E A♭ B♭
650,5,C D E A♭ B♭
651,6,C D♭ D E A♭ B♭
652,5,C E♭ E A♭ B♭
653,6,C D♭ E♭ E A♭ B♭
654,6,C D E♭ E A♭ B♭
655,7,C D♭ D E♭ E A♭ B♭
656,4,C F A♭ B♭
657,5,C D♭ F A♭ B♭
658,5,C D F A♭ B♭
659,6,C D♭ D F A♭ B♭
660,5,C E♭ F A♭ B♭
661,6,C D♭ E♭ F A♭ B♭
662,6,C D E♭ F A♭ B♭
663,7,C D♭ D E♭ F A♭ B♭
664,5,C E F A♭ B♭
665,6,C D♭ E F A♭ B♭
666,6,C D E F A♭ B♭
667,7,C D♭ D E F A♭ B♭
668,6,C E♭ E F A♭ B♭
669,7,C D♭ E♭ E F A♭ B♭
670,7,C D E♭ E F A♭ B♭
671,8,C D♭ D E♭ E F A♭ B♭
672,4,C F♯ A♭ B♭
673,5,C D♭ F♯ A♭ B♭
674,5,C D F♯ A♭ B♭
675,6,C D♭ D F♯ A♭ B♭
676,5,C E♭ F♯ A♭ B♭
677,6,C D♭ E♭ F♯ A♭ B♭
678,6,C D E♭ F♯ A♭ B♭
679,7,C D♭ D E♭ F♯ A♭ B♭
680,5,C E F♯ A♭ B♭
681,6,C D♭ E F♯ A♭ B♭
682,6,C D E F♯ A♭ B♭
683,7,C D♭ D E F♯ A♭ B♭
684,6,C E♭ E F♯ A♭ B♭
685,7,C D♭ E♭ E F♯ A♭ B♭
686,7,C D E♭ E F♯ A♭ B♭
687,8,C D♭ D E♭ E F♯ A♭ B♭
688,5,C F F♯ A♭ B♭
689,6,C D♭ F F♯ A♭ B♭
690,6,C D F F♯ A♭ B♭
691,7,C D♭ D F F♯ A♭ B♭
692,6,C E♭ F F♯ A♭ B♭
693,7,C D♭ E♭ F F♯ A♭ B♭
694,7,C D E♭ F F♯ A♭ B♭
695,8,C D♭ D E♭ F F♯ A♭ B♭
696,6,C E F F♯ A♭ B♭
697,7,C D♭ E F F♯ A♭ B♭
698,7,C D E F F♯ A♭ B♭
699,8,C D♭ D E F F♯ A♭ B♭
700,7,C E♭ E F F♯ A♭ B♭
701,8,C D♭ E♭ E F F♯ A♭ B♭
702,8,C D E♭ E F F♯ A♭ B♭
703,9,C D♭ D E♭ E F F♯ A♭ B♭
704,4,C G A♭ B♭
705,5,C D♭ G A♭ B♭
706,5,C D G A♭ B♭
707,6,C D♭ D G A♭ B♭
708,5,C E♭ G A♭ B♭
709,6,C D♭ E♭ G A♭ B♭
710,6,C D E♭ G A♭ B♭
711,7,C D♭ D E♭ G A♭ B♭
712,5,C E G A♭ B♭
713,6,C D♭ E G A♭ B♭
714,6,C D E G A♭ B♭
715,7,C D♭ D E G A♭ B♭
716,6,C E♭ E G A♭ B♭
717,7,C D♭ E♭ E G A♭ B♭
718,7,C D E♭ E G A♭ B♭
719,8,C D♭ D E♭ E G A♭ B♭
720,5,C F G A♭ B♭
721,6,C D♭ F G A♭ B♭
722,6,C D F G A♭ B♭
723,7,C D♭ D F G A♭ B♭
724,6,C E♭ F G A♭ B♭
725,7,C D♭ E♭ F G A♭ B♭
726,7,C D E♭ F G A♭ B♭
727,8,C D♭ D E♭ F G A♭ B♭
728,6,C E F G A♭ B♭
729,7,C D♭ E F G A♭ B♭
730,7,C D E F G A♭ B♭
731,8,C D♭ D E F G A♭ B♭
732,7,C E♭ E F G A♭ B♭
733,8,C D♭ E♭ E F G A♭ B♭
734,8,C D E♭ E F G A♭ B♭
735,9,C D♭ D E♭ E F G A♭ B♭
736,5,C F♯ G A♭ B♭
737,6,C D♭ F♯ G A♭ B♭
738,6,C D F♯ G A♭ B♭
739,7,C D♭ D F♯ G A♭ B♭
